feature,missing_count,invalid_negative_count,outlier_count,data_type
Age,0,0,0,int64
Height_cm,0,0,4,float64
Weight_kg,0,0,7,float64
Waist_Circumference_cm,0,0,3,float64
Hip_Circumference_cm,0,0,9,float64
Age_at_Menarche,0,0,0,int64
Menstrual_Cycle_Length_days,0,0,4,int64
Menstrual_Irregularity,0,0,0,int64
Gravidity,0,0,0,int64
Parity,0,0,0,int64
Hirsutism_Score_FG,0,0,0,int64
Acne_Severity,0,0,0,int64
Alopecia,0,0,0,int64
Skin_Darkening_Acanthosis,0,0,0,int64
Blood_Pressure_Systolic,0,0,1,int64
Blood_Pressure_Diastolic,0,0,1,int64
Physical_Activity_Level,0,0,0,int64
Smoking_Status,0,0,0,int64
Alcohol_Intake,0,0,0,int64
Dietary_Sugar_Intake,0,0,0,int64
Sleep_Hours,0,0,2,float64
FSH_mIU_mL,0,0,6,float64
LH_mIU_mL,0,5,2,float64
Total_Testosterone_ng_dL,0,0,1,float64
Free_Testosterone_pg_mL,0,5,1,float64
DHEAS_ug_dL,0,5,4,int64
Prolactin_ng_mL,0,6,9,float64
Estradiol_pg_mL,0,4,2,float64
Progesterone_ng_mL,0,19,2,float64
SHBG_nmol_L,0,1,0,float64
Fasting_Glucose_mg_dL,0,0,5,float64
Fasting_Insulin_uIU_mL,0,12,2,float64
HbA1c_percent,0,0,4,float64
Total_Cholesterol_mg_dL,0,0,2,int64
HDL_mg_dL,0,0,0,int64
LDL_mg_dL,0,0,1,int64
Triglycerides_mg_dL,0,2,2,int64
Ovary_Volume_Left_cm3,0,0,4,float64
Ovary_Volume_Right_cm3,0,1,3,float64
Follicle_Count_Left,0,0,0,int64
Follicle_Count_Right,0,0,0,int64
CRP_mg_L,0,37,5,float64
ALT_U_L,0,4,2,int64
AST_U_L,0,6,5,int64
TSH_uIU_mL,0,6,3,float64
Vitamin_D_ng_mL,0,4,4,float64
Hemoglobin_g_dL,0,0,3,float64
